Country,Industry,Carbon_emission
CZE,A02,35.925000000000004
CZE,A03,6.814
CZE,B,3944.221
CZE,C10-C12,1058.77
CZE,C13-C15,104.756
CZE,C16,112.052
CZE,C17,456.898
CZE,C18,15.039
CZE,C19,562.059
CZE,C20,4726.317
CZE,C21,42.417
CZE,C22,181.986
CZE,C23,2797.63
CZE,C24,7557.712
CZE,C25,225.847
CZE,C26,19.419
CZE,C27,108.32000000000001
CZE,C28,161.391
CZE,C29,225.94400000000002
CZE,C30,46.597
CZE,C31_C32,63.679
CZE,C33,69.429
CZE,D35,48417.766
CZE,E36,65.431
CZE,E37-E39,481.253
CZE,F,983.378
CZE,G45,98.75
CZE,G46,507.838
CZE,G47,182.799
CZE,H49,5034.7970000000005
CZE,H50,35.037
CZE,H51,18.459
CZE,H52,488.129
CZE,H53,74.184
CZE,I,123.406
CZE,J58,5.067
CZE,J59_J60,5.246
CZE,J61,19.964000000000002
CZE,J62_J63,40.324
CZE,K64,31.797
CZE,K65,5.027
CZE,K66,7.399
CZE,L68,209.497
CZE,M69_M70,52.648
CZE,M71,45.288000000000004
CZE,M72,12.874
CZE,M73,10.619
CZE,M74_M75,12.875
CZE,N,310.181
CZE,O84,184.096
CZE,P85,143.526
CZE,Q,234.804
CZE,R_S,104.045
CZE,T,0.0
CZE,U,0.0
CZE,FC_HH,13876.889000000001
DEU,A01,9338.335000000001
DEU,A02,244.166
DEU,A03,47.83
DEU,B,3736.5660000000003
DEU,C10-C12,9072.272
DEU,C13-C15,901.976
DEU,C16,984.737
DEU,C17,6775.802000000001
DEU,C18,842.2090000000001
DEU,C19,20409.993000000002
DEU,C20,27058.611
DEU,C21,1395.016
DEU,C22,2330.762
DEU,C23,36333.16
DEU,C24,43885.272000000004
DEU,C25,3716.578
DEU,C26,1030.119
DEU,C27,1234.604
DEU,C28,3304.62
DEU,C29,4674.608
DEU,C30,635.009
DEU,C31_C32,900.974
DEU,C33,446.325
DEU,D35,342397.924
DEU,E36,1473.463
DEU,E37-E39,6171.711
DEU,F,9645.915
DEU,G45,1860.176
DEU,G46,7313.3730000000005
DEU,G47,9206.618
DEU,H49,15309.859
DEU,H50,24766.579
DEU,H51,26997.376
DEU,H52,10265.26
DEU,H53,3644.577
DEU,I,3195.538
DEU,J58,579.571
DEU,J59_J60,388.87600000000003
DEU,J61,854.327
DEU,J62_J63,1597.3890000000001
DEU,K64,1040.578
DEU,K65,503.045
DEU,K66,223.803
DEU,L68,1050.549
DEU,M69_M70,2535.404
DEU,M71,1398.897
DEU,M72,1735.352
DEU,M73,465.61400000000003
DEU,M74_M75,513.1080000000001
DEU,N,1003.298
DEU,O84,6286.842000000001
DEU,P85,3534.948
DEU,Q,6479.275000000001
DEU,R_S,4403.932
DEU,T,0.0
DEU,U,0.0
DEU,FC_HH,179169.559
DNK,A01,1492.107
DNK,A02,60.348
DNK,A03,345.555
DNK,B,1675.23
DNK,C10-C12,1133.815
DNK,C13-C15,20.356
DNK,C16,25.036
DNK,C17,90.85300000000001
DNK,C18,13.215
DNK,C19,1010.739
DNK,C20,333.071
DNK,C21,58.012
DNK,C22,40.835
DNK,C23,2287.6
DNK,C24,104.956
DNK,C25,133.608
DNK,C26,14.870000000000001
DNK,C27,17.197
DNK,C28,130.27100000000002
DNK,C29,19.032
DNK,C30,4.814
DNK,C31_C32,29.281000000000002
DNK,C33,42.502
DNK,D35,12286.719000000001
