,region,sector,Carbon Stressor
0,AT,Additives/Blending Components,538783.6012618575
1,AT,Air transport services (62),943867.2520623035
2,AT,All Products,162154.75988438394
3,AT,Aluminium and aluminium products,57914.63061500761
4,AT,Aluminium ores and concentrates,17040268.581074182
5,AT,Animal products nec,5310257.276149706
6,AT,Anthracite,0.0
7,AT,"Ash for treatment, Re-processing of ash into clinker",0.0
8,AT,Aviation Gasoline,0.0
9,AT,BKB/Peat Briquettes,0.0
10,AT,Basic iron and steel and of ferro-alloys and first products thereof,754200.5296808073
11,AT,Beverages,93529.25128477998
12,AT,Biodiesels,523130.0202034657
13,AT,Biogas,1679201.7510962316
14,AT,Biogasoline,512192.9479922011
15,AT,Bitumen,1043235.7829617539
16,AT,Blast Furnace Gas,1701441.2661975
17,AT,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
18,AT,"Bricks, tiles and construction products, in baked clay",460248.06505520985
19,AT,Cattle,8187545.775912836
20,AT,"Cement, lime and plaster",971949.2237072381
21,AT,Ceramic goods,614591.623183166
22,AT,Cereal grains nec,1437169.1490525582
23,AT,Charcoal,1267686.3843100057
24,AT,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",261326.42359466528
25,AT,Chemicals nec,526187.4891019443
26,AT,Coal Tar,15246983.364283575
27,AT,Coke Oven Coke,17030060.434771463
28,AT,Coke oven gas,1700605.9344028232
29,AT,Coking Coal,0.0
30,AT,"Collected and purified water, distribution services of water (41)",184550.84834833696
31,AT,Computer and related services (72),14476.690028464696
32,AT,Construction work (45),69861.8592369038
33,AT,Copper ores and concentrates,1078709.0389987633
34,AT,Copper products,34214.0089094709
35,AT,Crops nec,715305.6017528166
36,AT,"Crude petroleum and services related to crude oil extraction, excluding surveying",6710513.248748432
37,AT,Dairy products,80477.43083922249
38,AT,Distribution and trade services of electricity,12732.410633162508
39,AT,Distribution services of gaseous fuels through mains,1698230.1494841229
40,AT,Education services (80),25610.252676467604
41,AT,Electrical machinery and apparatus n.e.c. (31),34760.370763139705
42,AT,Electricity by Geothermal,97093.96800971356
43,AT,Electricity by biomass and waste,232546.04301882896
44,AT,Electricity by coal,13606399.702564783
45,AT,Electricity by gas,2152582.986654144
46,AT,Electricity by hydro,13610.10892872563
47,AT,Electricity by nuclear,402526.577093539
48,AT,Electricity by petroleum and other oil derivatives,3118642.2534328056
49,AT,Electricity by solar photovoltaic,5068492.092735804
50,AT,Electricity by solar thermal,0.0
51,AT,"Electricity by tide, wave, ocean",0.0
52,AT,Electricity by wind,1557843.862235683
53,AT,Electricity nec,14919.738674847917
54,AT,Ethane,0.0
55,AT,Extra-territorial organizations and bodies,0.0
56,AT,"Fabricated metal products, except machinery and equipment (28)",29724.70744892822
57,AT,"Financial intermediation services, except insurance and pension funding services (65)",10177.311270139724
58,AT,Fish and other fishing products; services incidental of fishing (05),3633.453976776959
59,AT,Fish products,217826.236416573
60,AT,Food products nec,70302.07085383512
61,AT,Food waste for treatment: biogasification and land application,55317.83241930089
62,AT,Food waste for treatment: composting and land application,72076.23084489556
63,AT,Food waste for treatment: incineration,63659.657160423834
64,AT,Food waste for treatment: landfill,88838295.742068
65,AT,Food waste for treatment: waste water treatment,1189478.6538146911
66,AT,Foundry work services,1239763.4391293197
67,AT,Furniture; other manufactured goods n.e.c. (36),33492.66589966559
68,AT,Gas Coke,0.0
69,AT,Gas Works Gas,941847.9882673842
70,AT,Gas/Diesel Oil,1060954.816693459
71,AT,Gasoline Type Jet Fuel,911189.0864224676
72,AT,Glass and glass products,388803.77261487924
73,AT,Health and social work services (85),39376.570632563016
74,AT,Heavy Fuel Oil,1061391.314362068
75,AT,Hotel and restaurant services (55),22634.562226988957
76,AT,Inert/metal/hazardous waste for treatment: landfill,58985.01417889701
77,AT,Inland water transportation services,2043405.9119476154
78,AT,"Insurance and pension funding services, except compulsory social security services (66)",10269.8549089001
79,AT,Intert/metal waste for treatment: incineration,203149.98172808526
80,AT,Iron ores,470370.7571255899
81,AT,Kerosene,1062604.5625944557
82,AT,Kerosene Type Jet Fuel,1061194.605028195
83,AT,"Lead, zinc and tin and products thereof",32304.27467223145
84,AT,"Lead, zinc and tin ores and concentrates",1064975.0030738038
85,AT,Leather and leather products (19),6363.404071857452
86,AT,Lignite/Brown Coal,116793356.48814695
87,AT,Liquefied Petroleum Gases (LPG),1061735.9550141962
88,AT,Lubricants,1062273.2306337254
89,AT,Machinery and equipment n.e.c. (29),22265.35599556658
90,AT,Manure (biogas treatment),0.0
91,AT,Manure (conventional treatment),0.0
92,AT,Meat animals nec,4983857.384979363
93,AT,Meat products nec,68959.14382606625
94,AT,"Medical, precision and optical instruments, watches and clocks (33)",62476.92133054806
95,AT,Membership organisation services n.e.c. (91),73365.09788668649
96,AT,Motor Gasoline,1062620.0627623468
97,AT,"Motor vehicles, trailers and semi-trailers (34)",8752.722858146855
98,AT,N-fertiliser,2177857.0212900606
99,AT,Naphtha,1054005.0232930514
100,AT,Natural Gas Liquids,7856201.083205301
101,AT,"Natural gas and services related to natural gas extraction, excluding surveying",7864565.281157361
102,AT,Nickel ores and concentrates,17040268.552411072
103,AT,Non Secondary Products,162262.7211957357
104,AT,Non-specified Petroleum Products,1058551.8865304012
105,AT,Nuclear fuel,39330460.77218283
106,AT,Office machinery and computers (30),39189.14770923566
107,AT,Oil seeds,1059061.6170674204
108,AT,Oil/hazardous waste for treatment: incineration,188318.6797180538
109,AT,Other Bituminous Coal,0.0
110,AT,Other Hydrocarbons,2376486.7887210464
111,AT,Other Liquid Biofuels,736829.0767928511
112,AT,Other business services (74),42809.32478857125
113,AT,Other land transportation services,30684.904302145427
114,AT,Other non-ferrous metal ores and concentrates,150878.7917854614
115,AT,Other non-ferrous metal products,39027.903611945745
116,AT,Other non-metallic mineral products,518739.4330871489
117,AT,Other services (93),20344.432238965324
118,AT,Other transport equipment (35),20389.30639593858
119,AT,Other waste for treatment: waste water treatment,1381385.5438959214
120,AT,Oxygen Steel Furnace Gas,612894.2378603577
121,AT,P- and other fertiliser,1205195.1103022406
122,AT,Paddy rice,0.0
123,AT,Paper and paper products,296394.3852784014
124,AT,Paper and wood waste for treatment: composting and land application,303507.6435624498
125,AT,Paper for treatment: landfill,70651527.68237437
126,AT,Paper waste for treatment: biogasification and land application,432277.63623910455
127,AT,Paper waste for treatment: incineration,47614.1892324405
128,AT,Paraffin Waxes,0.0
129,AT,Patent Fuel,0.0
