,region,sector,Carbon Stressor
0,AT,Additives/Blending Components,606090.022730605
1,AT,Air transport services (62),703267.1897472795
2,AT,All Products,150046.571774599
3,AT,Aluminium and aluminium products,48100.56833522034
4,AT,Aluminium ores and concentrates,3835098.67292
5,AT,Animal products nec,5861729.782331958
6,AT,Anthracite,12032045201.8
7,AT,"Ash for treatment, Re-processing of ash into clinker",0.0
8,AT,Aviation Gasoline,130654.10004299998
9,AT,BKB/Peat Briquettes,1563263730.16
10,AT,Basic iron and steel and of ferro-alloys and first products thereof,518881.19064056233
11,AT,Beverages,85229.76883426709
12,AT,Biodiesels,518869.6603736515
13,AT,Biogas,1466774.7235327712
14,AT,Biogasoline,705420.534432688
15,AT,Bitumen,821787.0371095702
16,AT,Blast Furnace Gas,1467778.1700414682
17,AT,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
18,AT,"Bricks, tiles and construction products, in baked clay",470370.16902003094
19,AT,Cattle,8831946.875552377
20,AT,"Cement, lime and plaster",877598.2058048043
21,AT,Ceramic goods,458768.4716739437
22,AT,Cereal grains nec,1233836.6855593554
23,AT,Charcoal,820336.3521132802
24,AT,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",203179.79211181257
25,AT,Chemicals nec,589833.866143896
26,AT,Coal Tar,8490701.799149778
27,AT,Coke Oven Coke,9235880.169743946
28,AT,Coke oven gas,1467825.5686359915
29,AT,Coking Coal,11894780222.4
30,AT,"Collected and purified water, distribution services of water (41)",179630.06999969244
31,AT,Computer and related services (72),22335.441578700546
32,AT,Construction work (45),57636.53125074719
33,AT,Copper ores and concentrates,338142.8631907411
34,AT,Copper products,29994.85026612539
35,AT,Crops nec,548603.0073786611
36,AT,"Crude petroleum and services related to crude oil extraction, excluding surveying",4901077.136196582
37,AT,Dairy products,64701.63956746456
38,AT,Distribution and trade services of electricity,3017.6247667852876
39,AT,Distribution services of gaseous fuels through mains,1466952.8151246596
40,AT,Education services (80),43873.71124868101
41,AT,Electrical machinery and apparatus n.e.c. (31),26975.82794698534
42,AT,Electricity by Geothermal,608963.7457621119
43,AT,Electricity by biomass and waste,256150.1139151208
44,AT,Electricity by coal,10028599.431193413
45,AT,Electricity by gas,2174904.8921582033
46,AT,Electricity by hydro,4351.650484314803
47,AT,Electricity by nuclear,24409.180593218116
48,AT,Electricity by petroleum and other oil derivatives,1567677.5261984114
49,AT,Electricity by solar photovoltaic,4038217.7859881814
50,AT,Electricity by solar thermal,0.27906575498599995
51,AT,"Electricity by tide, wave, ocean",11308.7898021
52,AT,Electricity by wind,424053.76326384704
53,AT,Electricity nec,41485.483580455875
54,AT,Ethane,7589622.30837
55,AT,Extra-territorial organizations and bodies,0.0
56,AT,"Fabricated metal products, except machinery and equipment (28)",23044.41231351515
57,AT,"Financial intermediation services, except insurance and pension funding services (65)",10858.352455053755
58,AT,Fish and other fishing products; services incidental of fishing (05),6782.0115848893365
59,AT,Fish products,168750.06890622806
60,AT,Food products nec,56667.30481319557
61,AT,Food waste for treatment: biogasification and land application,115895.90864995771
62,AT,Food waste for treatment: composting and land application,140812.00930040536
63,AT,Food waste for treatment: incineration,127741.9802076804
64,AT,Food waste for treatment: landfill,56630997.88847838
65,AT,Food waste for treatment: waste water treatment,1646212.5480733055
66,AT,Foundry work services,540488.8633388884
67,AT,Furniture; other manufactured goods n.e.c. (36),29738.524709237237
68,AT,Gas Coke,415.514292969
69,AT,Gas Works Gas,6613423.731009999
70,AT,Gas/Diesel Oil,821379.8573691872
71,AT,Gasoline Type Jet Fuel,865146.9279438569
72,AT,Glass and glass products,256907.1818376932
73,AT,Health and social work services (85),67262.41352260679
74,AT,Heavy Fuel Oil,821465.3019509992
75,AT,Hotel and restaurant services (55),31773.127857366035
76,AT,Inert/metal/hazardous waste for treatment: landfill,100115.72485376257
77,AT,Inland water transportation services,1385755.711549313
78,AT,"Insurance and pension funding services, except compulsory social security services (66)",9874.863287909084
79,AT,Intert/metal waste for treatment: incineration,244723.1344645613
