,region,sector,Carbon Stressor
0,AT,Additives/Blending Components,281744.8889192317
1,AT,Air transport services (62),843606.5447134604
2,AT,All Products,107037.65934925138
3,AT,Aluminium and aluminium products,415705.8453483294
4,AT,Aluminium ores and concentrates,0.0
5,AT,Animal products nec,4288897.158977432
6,AT,Anthracite,0.0
7,AT,"Ash for treatment, Re-processing of ash into clinker",0.0
8,AT,Aviation Gasoline,16379.970766937564
9,AT,BKB/Peat Briquettes,106508.74639412617
10,AT,Basic iron and steel and of ferro-alloys and first products thereof,536813.9643948075
11,AT,Beverages,120618.57771543505
12,AT,Biodiesels,520958.22209842026
13,AT,Biogas,1042440.0511695734
14,AT,Biogasoline,293380.54344378825
15,AT,Bitumen,599181.8294738169
16,AT,Blast Furnace Gas,1043875.2227730785
17,AT,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
18,AT,"Bricks, tiles and construction products, in baked clay",325027.07487305324
19,AT,Cattle,6589991.466488295
20,AT,"Cement, lime and plaster",695741.9754556239
21,AT,Ceramic goods,410454.7747114908
22,AT,Cereal grains nec,1097945.6465413265
23,AT,Charcoal,40891.087044320324
24,AT,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",458480.2439780456
25,AT,Chemicals nec,315102.5176432246
26,AT,Coal Tar,5846710.953354705
27,AT,Coke Oven Coke,5836577.467397973
28,AT,Coke oven gas,1043846.1900704169
29,AT,Coking Coal,106509.98321164388
30,AT,"Collected and purified water, distribution services of water (41)",116766.26375860164
31,AT,Computer and related services (72),20558.115052623954
32,AT,Construction work (45),35004.647598420925
33,AT,Copper ores and concentrates,106509.98856422429
34,AT,Copper products,32678.44593754858
35,AT,Crops nec,1241754.0664910013
36,AT,"Crude petroleum and services related to crude oil extraction, excluding surveying",2165919.5175737357
37,AT,Dairy products,48799.20901468209
38,AT,Distribution and trade services of electricity,15544.257364727193
39,AT,Distribution services of gaseous fuels through mains,1043113.5694370889
40,AT,Education services (80),14546.956974430204
41,AT,Electrical machinery and apparatus n.e.c. (31),43677.12658293657
42,AT,Electricity by Geothermal,356790.91494351346
43,AT,Electricity by biomass and waste,616229.5207806505
44,AT,Electricity by coal,2586063.5989803094
45,AT,Electricity by gas,499739.05760228005
46,AT,Electricity by hydro,18773.553598219052
47,AT,Electricity by nuclear,57545.9616588008
48,AT,Electricity by petroleum and other oil derivatives,575890.6195028642
49,AT,Electricity by solar photovoltaic,1021937.7843871076
50,AT,Electricity by solar thermal,0.0
51,AT,"Electricity by tide, wave, ocean",0.0
52,AT,Electricity by wind,202325.5151930946
53,AT,Electricity nec,11652.465978789929
54,AT,Ethane,16379.964545033366
55,AT,Extra-territorial organizations and bodies,0.0
56,AT,"Fabricated metal products, except machinery and equipment (28)",33559.37144057151
57,AT,"Financial intermediation services, except insurance and pension funding services (65)",3346.209166429476
58,AT,Fish and other fishing products; services incidental of fishing (05),8008.48886509248
59,AT,Fish products,262604.592674054
60,AT,Food products nec,53370.83111806916
61,AT,Food waste for treatment: biogasification and land application,92534.67942011874
62,AT,Food waste for treatment: composting and land application,131534.8903066393
63,AT,Food waste for treatment: incineration,120660.04999345739
64,AT,Food waste for treatment: landfill,37021833.05049629
65,AT,Food waste for treatment: waste water treatment,5214629.43546782
66,AT,Foundry work services,284220.21557136835
67,AT,Furniture; other manufactured goods n.e.c. (36),35448.78001431053
68,AT,Gas Coke,0.0
69,AT,Gas Works Gas,48392.78815187797
70,AT,Gas/Diesel Oil,598397.5145993186
71,AT,Gasoline Type Jet Fuel,317002.19420098007
72,AT,Glass and glass products,380631.2869702561
73,AT,Health and social work services (85),17261.22648350293
74,AT,Heavy Fuel Oil,598104.8064553428
75,AT,Hotel and restaurant services (55),14987.486581370658
76,AT,Inert/metal/hazardous waste for treatment: landfill,27769.953489748128
77,AT,Inland water transportation services,803852.005747734
78,AT,"Insurance and pension funding services, except compulsory social security services (66)",3433.8918625449114
79,AT,Intert/metal waste for treatment: incineration,447883.036130471
80,AT,Iron ores,1609138.0621260705
81,AT,Kerosene,343323.9814618786
82,AT,Kerosene Type Jet Fuel,598316.1702624862
83,AT,"Lead, zinc and tin and products thereof",30502.873081928792
84,AT,"Lead, zinc and tin ores and concentrates",106509.9889186849
85,AT,Leather and leather products (19),4210.534953386522
86,AT,Lignite/Brown Coal,106509.98389886193
87,AT,Liquefied Petroleum Gases (LPG),597884.9872536925
88,AT,Lubricants,598354.8538605585
89,AT,Machinery and equipment n.e.c. (29),14423.405572163585
90,AT,Manure (biogas treatment),0.0
91,AT,Manure (conventional treatment),0.0
92,AT,Meat animals nec,4007273.9011568977
93,AT,Meat products nec,50930.42125395434
94,AT,"Medical, precision and optical instruments, watches and clocks (33)",49039.70008476195
95,AT,Membership organisation services n.e.c. (91),12339.61759593747
96,AT,Motor Gasoline,598283.8224339888
97,AT,"Motor vehicles, trailers and semi-trailers (34)",4952.685567602001
98,AT,N-fertiliser,344368.448794003
99,AT,Naphtha,600667.9091015666
100,AT,Natural Gas Liquids,2716205.4283338618
101,AT,"Natural gas and services related to natural gas extraction, excluding surveying",2727057.900206952
102,AT,Nickel ores and concentrates,0.0
103,AT,Non Secondary Products,107080.77705139472
104,AT,Non-specified Petroleum Products,598574.6877606222
105,AT,Nuclear fuel,17786266.338545512
106,AT,Office machinery and computers (30),97944.6186480586
107,AT,Oil seeds,1391305.2066806473
108,AT,Oil/hazardous waste for treatment: incineration,214234.4018817197
109,AT,Other Bituminous Coal,106538.95403932207
110,AT,Other Hydrocarbons,0.0
111,AT,Other Liquid Biofuels,333092.8892808798
112,AT,Other business services (74),29820.742472906535
113,AT,Other land transportation services,31114.104883285447
114,AT,Other non-ferrous metal ores and concentrates,63072.10386784091
115,AT,Other non-ferrous metal products,33973.46318972717
116,AT,Other non-metallic mineral products,582222.4901218074
117,AT,Other services (93),13613.51492420368
118,AT,Other transport equipment (35),5600.462235786868
119,AT,Other waste for treatment: waste water treatment,5116907.706805208
120,AT,Oxygen Steel Furnace Gas,72006.56659015064
121,AT,P- and other fertiliser,662892.0217621486
122,AT,Paddy rice,0.0
123,AT,Paper and paper products,204031.61709098413
124,AT,Paper and wood waste for treatment: composting and land application,48297.92540356718
125,AT,Paper for treatment: landfill,21958601.541984268
