,region,sector,Carbon Stressor
0,AT,Additives/Blending Components,310629.764338638
1,AT,Air transport services (62),847067.3461112643
2,AT,All Products,119349.92297727133
3,AT,Aluminium and aluminium products,511185.66205591854
4,AT,Aluminium ores and concentrates,4472428.950809999
5,AT,Animal products nec,4011400.4550319975
6,AT,Anthracite,12016311303.0
7,AT,"Ash for treatment, Re-processing of ash into clinker",0.0
8,AT,Aviation Gasoline,18036.63854481513
9,AT,BKB/Peat Briquettes,141154.34739474498
10,AT,Basic iron and steel and of ferro-alloys and first products thereof,548966.6238368237
11,AT,Beverages,114838.02600581765
12,AT,Biodiesels,448924.7907014817
13,AT,Biogas,1113726.2002947852
14,AT,Biogasoline,321858.1984387385
15,AT,Bitumen,626663.1670432404
16,AT,Blast Furnace Gas,1116042.5969646454
17,AT,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
18,AT,"Bricks, tiles and construction products, in baked clay",343886.230945989
19,AT,Cattle,6260699.861495962
20,AT,"Cement, lime and plaster",711305.2591605519
21,AT,Ceramic goods,432121.12820975616
22,AT,Cereal grains nec,1048298.5265231897
23,AT,Charcoal,320193.0670932863
24,AT,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",479470.70474051795
25,AT,Chemicals nec,351911.7954630639
26,AT,Coal Tar,5039256.781323558
27,AT,Coke Oven Coke,5049131.145096056
28,AT,Coke oven gas,1116002.8875297443
29,AT,Coking Coal,127044.08835646749
30,AT,"Collected and purified water, distribution services of water (41)",116275.85135116066
31,AT,Computer and related services (72),24223.081440496997
32,AT,Construction work (45),37706.64015775525
33,AT,Copper ores and concentrates,125398.44299168006
34,AT,Copper products,31315.853491304395
35,AT,Crops nec,1045755.1287679345
36,AT,"Crude petroleum and services related to crude oil extraction, excluding surveying",2432552.489978671
37,AT,Dairy products,51453.53361033301
38,AT,Distribution and trade services of electricity,13480.700408760224
39,AT,Distribution services of gaseous fuels through mains,1114803.848715551
40,AT,Education services (80),13399.511691444015
41,AT,Electrical machinery and apparatus n.e.c. (31),49362.08927080175
42,AT,Electricity by Geothermal,66367.52468753755
43,AT,Electricity by biomass and waste,375539.24720168643
44,AT,Electricity by coal,3715752.643308049
45,AT,Electricity by gas,95515.55474591753
46,AT,Electricity by hydro,14084.530366467434
47,AT,Electricity by nuclear,63479.793189727134
48,AT,Electricity by petroleum and other oil derivatives,39499.20556707697
49,AT,Electricity by solar photovoltaic,1477728.2477299569
50,AT,Electricity by solar thermal,0.221346816906
51,AT,"Electricity by tide, wave, ocean",1938.64278858
52,AT,Electricity by wind,178479.37557698844
53,AT,Electricity nec,9239.946097400754
54,AT,Ethane,18036.630146846062
55,AT,Extra-territorial organizations and bodies,0.0
56,AT,"Fabricated metal products, except machinery and equipment (28)",39407.57401958019
57,AT,"Financial intermediation services, except insurance and pension funding services (65)",4066.7007950582656
58,AT,Fish and other fishing products; services incidental of fishing (05),7490.059671607279
59,AT,Fish products,828056.0723810826
60,AT,Food products nec,54320.1009565084
61,AT,Food waste for treatment: biogasification and land application,94067.68962288936
62,AT,Food waste for treatment: composting and land application,125650.50569521807
63,AT,Food waste for treatment: incineration,114940.16228332969
64,AT,Food waste for treatment: landfill,44102671.994284414
65,AT,Food waste for treatment: waste water treatment,4641078.5864069685
66,AT,Foundry work services,339140.2509901061
67,AT,Furniture; other manufactured goods n.e.c. (36),39615.4449834149
68,AT,Gas Coke,256.745026667
69,AT,Gas Works Gas,54469.502446040875
70,AT,Gas/Diesel Oil,626616.2996055713
71,AT,Gasoline Type Jet Fuel,355057.2725172622
72,AT,Glass and glass products,357029.28238990717
73,AT,Health and social work services (85),17003.997478506004
74,AT,Heavy Fuel Oil,626573.1275403333
75,AT,Hotel and restaurant services (55),17340.395287353425
76,AT,Inert/metal/hazardous waste for treatment: landfill,32289.72040752484
77,AT,Inland water transportation services,919844.893832823
78,AT,"Insurance and pension funding services, except compulsory social security services (66)",4269.500269686485
79,AT,Intert/metal waste for treatment: incineration,444509.07686397113
80,AT,Iron ores,1297607.4653924888
81,AT,Kerosene,620895.6564739819
82,AT,Kerosene Type Jet Fuel,626422.6407720272
83,AT,"Lead, zinc and tin and products thereof",33509.789241522645
84,AT,"Lead, zinc and tin ores and concentrates",125398.41421480395
85,AT,Leather and leather products (19),3832.3798837314785
86,AT,Lignite/Brown Coal,127176.50259837155
87,AT,Liquefied Petroleum Gases (LPG),626267.2530948475
88,AT,Lubricants,626704.5408014947
89,AT,Machinery and equipment n.e.c. (29),16390.635187249223
90,AT,Manure (biogas treatment),0.0
91,AT,Manure (conventional treatment),0.0
92,AT,Meat animals nec,4473825.344737094
93,AT,Meat products nec,50486.83255903839
94,AT,"Medical, precision and optical instruments, watches and clocks (33)",56028.7787952932
95,AT,Membership organisation services n.e.c. (91),11501.155498444074
96,AT,Motor Gasoline,626561.6215504507
97,AT,"Motor vehicles, trailers and semi-trailers (34)",6473.104036251706
98,AT,N-fertiliser,370191.0484412548
99,AT,Naphtha,627468.9454782967
100,AT,Natural Gas Liquids,1512432.0126174404
101,AT,"Natural gas and services related to natural gas extraction, excluding surveying",1520465.134611902
102,AT,Nickel ores and concentrates,1686364.4664572154
103,AT,Non Secondary Products,119429.8231505919
104,AT,Non-specified Petroleum Products,721406.8321280633
105,AT,Nuclear fuel,20512203.622118857
106,AT,Office machinery and computers (30),34046.28743390573
107,AT,Oil seeds,1195227.0951667968
108,AT,Oil/hazardous waste for treatment: incineration,243767.94127731584
109,AT,Other Bituminous Coal,2395696.155444803
110,AT,Other Hydrocarbons,21272438.607699998
111,AT,Other Liquid Biofuels,365744.13210987434
112,AT,Other business services (74),56364.90535090117
113,AT,Other land transportation services,35619.92523561048
114,AT,Other non-ferrous metal ores and concentrates,109651.96820919307
115,AT,Other non-ferrous metal products,33306.42040662033
116,AT,Other non-metallic mineral products,513301.4136002553
117,AT,Other services (93),19522.14650697158
118,AT,Other transport equipment (35),6745.008376292042
119,AT,Other waste for treatment: waste water treatment,4774320.115762798
120,AT,Oxygen Steel Furnace Gas,76946.42966403601
121,AT,P- and other fertiliser,749905.6949558749
122,AT,Paddy rice,67862.78993249999
123,AT,Paper and paper products,211128.0763579207
124,AT,Paper and wood waste for treatment: composting and land application,87803.33337452766
125,AT,Paper for treatment: landfill,29826820.635069285
126,AT,Paper waste for treatment: biogasification and land application,109322.09587909866
127,AT,Paper waste for treatment: incineration,96958.37745389556
128,AT,Paraffin Waxes,18036.618807916755
129,AT,Patent Fuel,126073.51210355009
130,AT,Peat,12314691.125701178
131,AT,Petroleum Coke,1220678.4775311665
132,AT,Pigs,476286.84389008005
133,AT,Plant-based fibers,326476.51021836256
134,AT,Plastic waste for treatment: incineration,402279.6146683024
135,AT,Plastic waste for treatment: landfill,5651081.535674258
136,AT,"Plastics, basic",222150.51346250833
137,AT,Post and telecommunication services (64),4191.1440800342525
138,AT,Poultry,459300.39141516335
139,AT,Precious metal ores and concentrates,125398.59508431228
140,AT,Precious metals,80173.64387349121
141,AT,Printed matter and recorded media (22),154554.61711507136
142,AT,Private households with employed persons (95),5832.652924411191
143,AT,Processed rice,5684033.210669786
144,AT,"Products of forestry, logging and related services (02)",322455.61071766
145,AT,Products of meat cattle,64933.586238849864
146,AT,Products of meat pigs,57475.93511445912
147,AT,Products of meat poultry,93312.90402722741
148,AT,Public administration and defence services; compulsory social security services (75),6713.024151378346
149,AT,Pulp,160895.37072851244
150,AT,"Radio, television and communication equipment and apparatus (32)",24604.337194650667
151,AT,Railway transportation services,164982.35253302957
152,AT,Raw milk,3007219.456059865
153,AT,Real estate services (70),16441.279180056714
154,AT,"Recreational, cultural and sporting services (92)",6008.28299455255
155,AT,Refinery Feedstocks,626384.1130107747
156,AT,Refinery Gas,627098.7931369956
157,AT,Renting services of machinery and equipment without operator and of personal and household goods (71),40278.03245032682
158,AT,Research and development services (73),21036.1940793375
159,AT,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",134254.53432642788
160,AT,Retail trade services of motor fuel,132692.0633442436
161,AT,Rubber and plastic products (25),21314.415247179866
