,Other non-ferrous metal ores and concentrates,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",Precious metals,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",Electrical machinery and apparatus n.e.c. (31),Office machinery and computers (30),"Radio, television and communication equipment and apparatus (32)","Medical, precision and optical instruments, watches and clocks (33)",Semiconductivity Related Products,Semiconductivity Upstream Products,Semiconductivity Downstream Products
CN,-0.0005334407967536,-5.551115123125784e-16,0.0002538740446993,-5.551115123125784e-16,-0.000228109321593,-6.300874572517934e-05,3.344336811883508e-05,-0.0002306739421952,-0.0007679153934457,-0.0002795667520537,-0.0004883486413926
US,-0.000452781750163,-3.3306690738754696e-16,-0.0001376705449586,-3.3306690738754696e-16,-0.0004983261094044,4.116341564497361e-05,-0.0002994621868385,-0.0003313416011399,-0.0016784187768584,-0.0005904522951215,-0.0010879664817371
